Family,3.107445429740794
Crime,3.2431359167148663
TV Movie,3.112426194310246
Comedy,3.180054455624089
Drama,3.3255160923696927
Horror,2.9216616448068002
Adventure,3.0989690721649468
War,3.3756075216972006
Animation,3.358105347716323
Thriller,3.046185459224714
Science Fiction,3.0299711867459043
Romance,3.1945761873350955
History,3.3962378976486924
Mystery,3.1779508970727033
Action,3.0486408136108754
Western,3.2852798053527965
Documentary,3.5176063533345667
Music,3.435994610485052
Fantasy,3.153342012274505
